,loan product,status,amount,credit score,rent,monthly income,other income,debts,has debts,pays rent,has credit,dti
1185,3,1,25808.0,600,1450.0,7000.0,0.0,895.0,1,1,1,12.79
1186,3,1,20000.0,0,0.0,1467.0,1467.0,0.0,0,0,0,0.0
1187,3,1,33500.0,600,500.0,7666.667,0.0,328.0,1,1,1,4.28
1188,1,1,500.0,600,450.0,1950.0,0.0,0.0,0,1,1,0.0
1189,3,1,35000.0,800,110.0,3141.667,0.0,515.0,1,1,1,16.39
1190,3,1,13290.84,0,0.0,0.0,0.0,0.0,0,0,0,100.0
1191,1,1,500.0,0,400.0,2500.0,0.0,0.0,0,1,0,0.0
1192,3,1,35000.0,0,0.0,0.0,0.0,0.0,0,0,0,100.0
1193,1,1,5000.0,0,0.0,0.0,0.0,0.0,0,0,0,100.0
1194,3,1,3195.0,0,0.0,0.0,0.0,0.0,0,0,0,100.0
1195,3,1,12145.0,700,0.0,8333.333,0.0,3015.0,1,0,1,36.18
1196,4,1,2550.0,0,0.0,0.0,0.0,0.0,0,0,0,100.0
1197,4,1,17053.0,0,0.0,0.0,0.0,0.0,0,0,0,100.0
1198,3,1,13000.0,700,300.0,3141.667,0.0,0.0,0,1,1,0.0
1199,3,1,30000.0,700,1600.0,10800.0,10800.0,1481.84,1,1,1,6.86
1200,3,1,5000.0,700,0.0,100.0,0.0,44.0,1,0,1,44.0
1201,1,1,1000.0,600,495.0,2600.0,0.0,0.0,0,1,1,0.0
